X,Y,Time,X_nuevo_origen,Y_nuevo_origen
1036,8,4.5379,378,692
1042,22,4.5545,384,678
1046,57,4.5712,388,643
1048,100,4.5879,390,600
1045,131,4.6046,387,569
1049,181,4.6213,391,519
1054,239,4.638,396,461
1056,305,4.6547,398,395
1059,377,4.6713,401,323
1063,455,4.688,405,245
1065,536,4.7047,407,164
1067,617,4.7214,409,83
1067,561,4.7381,409,139
1066,486,4.7548,408,214
1065,411,4.7714,407,289
1067,343,4.7881,409,357
1070,287,4.8048,412,413
1070,238,4.8215,412,462
1072,195,4.8382,414,505
1072,159,4.8548,414,541
1073,129,4.8715,415,571
1073,104,4.8882,415,596
1075,86,4.9049,417,614
1076,76,4.9216,418,624
1076,72,4.9383,418,628
1078,73,4.955,420,627
1078,82,4.9716,420,618
1079,97,4.9883,421,603
1079,120,5.005,421,580
1081,149,5.0217,423,551
1083,183,5.0384,425,517
1085,225,5.0551,427,475
1088,273,5.0717,430,427
1090,327,5.0884,432,373
1093,389,5.1051,435,311
1096,456,5.1218,438,244
1097,530,5.1385,439,170
1101,605,5.1551,443,95
1098,584,5.1718,440,116
1095,513,5.1885,437,187
1095,449,5.2052,437,251
1095,387,5.2219,437,313
1096,337,5.2386,438,363
1095,295,5.2553,437,405
1095,259,5.2719,437,441
1094,228,5.2886,436,472
1093,204,5.3053,435,496
1093,186,5.322,435,514
1091,174,5.3387,433,526
1091,170,5.3554,433,530
1090,172,5.372,432,528
1091,181,5.3887,433,519
1090,195,5.4054,432,505
1091,217,5.4221,433,483
1091,245,5.4388,433,455
1092,279,5.4554,434,421
1091,320,5.4721,433,380
1091,368,5.4888,433,332
1091,421,5.5055,433,279
1092,482,5.5222,434,218
1093,548,5.5389,435,152
1096,610,5.5556,438,90
1093,574,5.5722,435,126
1093,510,5.5889,435,190
1094,455,5.6056,436,245
1093,408,5.6223,435,292
1092,367,5.639,434,333
1091,332,5.6557,433,368
1089,304,5.6723,431,396
1089,281,5.689,431,419
1086,265,5.7057,428,435
1087,256,5.7224,429,444
1088,254,5.7391,430,446
1086,256,5.7557,428,444
1086,266,5.7724,428,434
1086,282,5.7891,428,418
1087,305,5.8058,429,395
1087,333,5.8225,429,367
1087,370,5.8392,429,330
1086,412,5.8559,428,288
1088,460,5.8725,430,240
1088,515,5.8892,430,185
1089,577,5.9059,431,123
1091,616,5.9226,433,84
1089,559,5.9393,431,141
1087,507,5.956,429,193
1086,462,5.9726,428,238
1084,424,5.9893,426,276
1083,392,6.006,425,308
1081,365,6.0227,423,335
1080,345,6.0394,422,355
1079,330,6.056,421,370
1077,323,6.0727,419,377
1076,323,6.0894,418,377
1075,327,6.1061,417,373
1074,339,6.1228,416,361
1073,356,6.1395,415,344
1072,381,6.1562,414,319
1071,413,6.1728,413,287
1072,450,6.1895,414,250
1070,495,6.2062,412,205
1071,544,6.2229,413,156
1070,601,6.2396,412,99
1072,603,6.2563,414,97
1069,554,6.2729,411,146
1066,511,6.2896,408,189
1063,474,6.3063,405,226
1059,444,6.323,401,256
1058,419,6.3397,400,281
1056,399,6.3563,398,301
1054,388,6.373,396,312
1052,382,6.3897,394,318
1050,383,6.4064,392,317
1048,390,6.4231,390,310
1047,402,6.4398,389,298
1045,422,6.4565,387,278
1042,448,6.4731,384,252
1039,484,6.4898,381,216
1040,522,6.5065,382,178
1040,565,6.5232,382,135
1039,613,6.5399,381,87
1037,599,6.5566,379,101
1035,557,6.5732,377,143
1032,522,6.5899,374,178
1031,491,6.6066,373,209
1028,467,6.6233,370,233
1026,449,6.64,368,251
1024,438,6.6566,366,262
1022,432,6.6733,364,268
1020,434,6.69,362,266
1019,442,6.7067,361,258
1017,456,6.7234,359,244
1015,486,6.7401,357,214
1015,505,6.7568,357,195
1014,537,6.7734,356,163
1013,576,6.7901,355,124
1013,617,6.8068,355,83
1012,604,6.8235,354,96
1011,567,6.8402,353,133
1009,536,6.8569,351,164
1008,511,6.8735,350,189
1007,492,6.8902,349,208
1005,480,6.9069,347,220
1004,474,6.9236,346,226
1003,475,6.9403,345,225
1002,486,6.9569,344,214
1001,501,6.9736,343,199
1001,515,6.9903,343,185
1000,540,7.007,342,160
999,573,7.0237,341,127
999,612,7.0404,341,88
1000,621,7.0571,342,79
999,586,7.0737,341,114
999,558,7.0904,341,142
998,535,7.1071,340,165
996,520,7.1238,338,180
995,509,7.1405,337,191
994,507,7.1572,336,193
994,509,7.1738,336,191
993,519,7.1905,335,181
992,537,7.2072,334,163
991,558,7.2239,333,142
990,588,7.2406,332,112
992,619,7.2572,334,81
992,618,7.2739,334,82
991,588,7.2906,333,112
990,564,7.3073,332,136
989,548,7.324,331,152
989,537,7.3407,331,163
988,532,7.3574,330,168
987,535,7.374,329,165
986,544,7.3907,328,156
985,559,7.4074,327,141
984,582,7.4241,326,118
985,607,7.4408,327,93
986,624,7.4575,328,76
985,605,7.4741,327,95
984,582,7.4908,326,118
982,565,7.5075,324,135
982,554,7.5242,324,146
981,549,7.5409,323,151
980,553,7.5575,322,147
980,561,7.5742,322,139
980,577,7.5909,322,123
979,599,7.6076,321,101
979,624,7.6243,321,76
979,624,7.641,321,76
978,600,7.6577,320,100
976,582,7.6743,318,118
975,571,7.691,317,129
975,565,7.7077,317,135
974,568,7.7244,316,132
973,576,7.7411,315,124
973,591,7.7578,315,109
972,612,7.7744,314,88
972,625,7.7911,314,75
972,618,7.8078,314,82
972,599,7.8245,314,101
971,586,7.8412,313,114
972,579,7.8579,314,121
972,580,7.8745,314,120
972,588,7.8912,314,112
972,602,7.9079,314,98
972,622,7.9246,314,78
973,629,7.9413,315,71
972,615,7.958,314,85
972,600,7.9746,314,100
973,591,7.9913,315,109
972,590,8.008,314,110
973,596,8.0247,315,104
973,608,8.0414,315,92
973,628,8.058,315,72
974,631,8.0747,316,69
973,617,8.0914,315,83
973,605,8.1081,315,95
974,599,8.1248,316,101
974,602,8.1415,316,98
974,610,8.1582,316,90
974,627,8.1748,316,73
974,631,8.1915,316,69
974,622,8.2082,316,78
974,611,8.2249,316,89
974,607,8.2416,316,93
975,611,8.2583,317,89
975,620,8.2749,317,80
975,631,8.2916,317,69
975,629,8.3083,317,71
975,618,8.325,317,82
975,613,8.3417,317,87
976,615,8.3583,318,85
976,625,8.375,318,75
976,631,8.3917,318,69
976,628,8.4084,318,72
976,619,8.4251,318,81
976,617,8.4418,318,83
976,623,8.4585,318,77
976,633,8.4751,318,67
977,631,8.4918,319,69
977,623,8.5085,319,77
976,621,8.5252,318,79
976,628,8.5419,318,72
977,632,8.5586,319,68
976,629,8.5752,318,71
977,625,8.5919,319,75
976,627,8.6086,318,73
976,635,8.6253,318,65
976,635,8.642,318,65
977,628,8.6586,319,72
977,629,8.6753,319,71
976,634,8.692,318,66
976,633,8.7087,318,67
978,630,8.7254,320,70
978,635,8.7421,320,65
978,635,8.7588,320,65
979,633,8.7754,321,67
982,634,8.7921,324,66
982,636,8.8088,324,64
983,634,8.8255,325,66
985,636,8.8422,327,64
984,636,8.8589,326,64
985,635,8.8755,327,65
986,636,8.8922,328,64
986,636,8.9089,328,64
987,637,8.9256,329,63
987,636,8.9423,329,64
988,637,8.9589,330,63
988,637,8.9756,330,63
989,637,8.9923,331,63
990,637,9.009,332,63
991,637,9.0257,333,63
993,637,9.0424,335,63
994,638,9.0591,336,62
995,637,9.0757,337,63
995,637,9.0924,337,63
996,637,9.1091,338,63
995,638,9.1258,337,62
996,637,9.1425,338,63
996,638,9.1592,338,62
996,638,9.1758,338,62
997,637,9.1925,339,63
996,638,9.2092,338,62
997,637,9.2259,339,63
997,637,9.2426,339,63
997,637,9.2592,339,63
997,637,9.2759,339,63
997,638,9.2926,339,62
997,638,9.3093,339,62
997,638,9.326,339,62
997,638,9.3427,339,62
997,638,9.3594,339,62
996,638,9.376,338,62
996,638,9.3927,338,62
995,637,9.4094,337,63
995,637,9.4261,337,63
995,637,9.4428,337,63
993,638,9.4595,335,62
992,638,9.4761,334,62
990,638,9.4928,332,62
989,638,9.5095,331,62
988,638,9.5262,330,62
986,638,9.5429,328,62
985,638,9.5595,327,62
985,638,9.5762,327,62
